Date,Vaccine_type,Doses_per_Day,OBJECTID
2021/05/18,AstraZeneca,1,499
2021/05/18,Janssen Inc.,2,500
2021/05/18,Moderna,2300,501
2021/05/18,None,2,502
2021/05/18,Pfizer,6064,503
2021/05/19,AstraZeneca,2,504
2021/05/19,Janssen Inc.,2,505
2021/05/19,Moderna,2286,506
2021/05/19,None,1,507
2021/05/19,Pfizer,6782,508
2021/05/20,AstraZeneca,11,509
2021/05/20,Moderna,1592,510
2021/05/20,Pfizer,8126,511
2021/05/21,AstraZeneca,4,512
2021/05/21,Janssen Inc.,4,513
2021/05/21,Moderna,1832,514
2021/05/21,None,1,515
2021/05/21,Pfizer,12193,516
2021/05/22,AstraZeneca,5,517
2021/05/22,Janssen Inc.,2,518
2021/05/22,Moderna,2454,519
2021/05/22,None,2,520
2021/05/22,Pfizer,6777,521
2021/05/23,AstraZeneca,1,522
2021/05/23,Moderna,2371,523
2021/05/23,Pfizer,5595,524
2021/05/24,AstraZeneca,7,525
2021/05/24,Janssen Inc.,6,526
2021/05/24,Moderna,855,527
2021/05/24,None,1,528
2021/05/24,Pfizer,4738,529
2021/05/25,AstraZeneca,127,530
2021/05/25,Janssen Inc.,2,531
2021/05/25,Moderna,1341,532
2021/05/25,None,2,533
2021/05/25,Pfizer,6754,534
2021/05/26,AstraZeneca,272,535
2021/05/26,Janssen Inc.,4,536
2021/05/26,Moderna,2366,537
2021/05/26,None,2,538
2021/05/26,Pfizer,7099,539
2021/05/27,AstraZeneca,300,540
2021/05/27,Moderna,2452,541
2021/05/27,None,1,542
2021/05/27,Pfizer,5992,543
2021/05/28,AstraZeneca,300,544
2021/05/28,Janssen Inc.,4,545
2021/05/28,Moderna,2100,546
2021/05/28,None,1,547
2021/05/28,Pfizer,5427,548
2021/05/29,AstraZeneca,253,549
2021/05/29,Moderna,1974,550
2021/05/29,Pfizer,5583,551
2021/05/30,AstraZeneca,321,552
2021/05/30,Moderna,1905,553
2021/05/30,Pfizer,5145,554
2021/05/31,AstraZeneca,87,555
2021/05/31,Janssen Inc.,2,556
2021/05/31,Moderna,818,557
2021/05/31,Pfizer,5372,558
2021/06/01,AstraZeneca,12,559
2021/06/01,Janssen Inc.,6,560
2021/06/01,Moderna,694,561
2021/06/01,None,1,562
2021/06/01,Pfizer,7971,563
2021/06/02,AstraZeneca,15,564
2021/06/02,Janssen Inc.,1,565
2021/06/02,Moderna,1404,566
2021/06/02,None,1,567
2021/06/02,Pfizer,9724,568
2021/06/03,AstraZeneca,10,569
2021/06/03,Moderna,1940,570
2021/06/03,Pfizer,13210,571
2021/06/04,AstraZeneca,29,572
2021/06/04,Janssen Inc.,2,573
2021/06/04,Moderna,2468,574
2021/06/04,None,2,575
2021/06/04,Pfizer,10789,576
2021/06/05,AstraZeneca,69,577
2021/06/05,Moderna,1946,578
2021/06/05,None,2,579
2021/06/05,Pfizer,13842,580
2021/06/06,AstraZeneca,35,581
2021/06/06,Moderna,733,582
2021/06/06,Pfizer,9449,583
2021/06/07,AstraZeneca,176,584
2021/06/07,Janssen Inc.,2,585
2021/06/07,Moderna,1649,586
2021/06/07,None,3,587
2021/06/07,Pfizer,10716,588
2021/06/08,AstraZeneca,133,589
2021/06/08,Janssen Inc.,2,590
2021/06/08,Moderna,1725,591
2021/06/08,None,3,592
2021/06/08,Pfizer,10617,593
2021/06/09,AstraZeneca,148,594
2021/06/09,Moderna,1720,595
2021/06/09,Pfizer,11353,596
2021/06/10,AstraZeneca,79,597
2021/06/10,Janssen Inc.,2,598
2021/06/10,Moderna,2093,599
2021/06/10,None,3,600
2021/06/10,Pfizer,10918,601
2021/06/11,AstraZeneca,64,602
2021/06/11,Janssen Inc.,0,603
2021/06/11,Moderna,2496,604
2021/06/11,None,2,605
2021/06/11,Pfizer,13039,606
2021/06/12,AstraZeneca,91,607
2021/06/12,Janssen Inc.,2,608
2021/06/12,Moderna,1364,609
2021/06/12,None,1,610
2021/06/12,Pfizer,15038,611
2021/06/13,AstraZeneca,62,612
2021/06/13,Moderna,1424,613
2021/06/13,Pfizer,9720,614
2021/06/14,AstraZeneca,89,615
2021/06/14,Janssen Inc.,4,616
2021/06/14,Moderna,2458,617
2021/06/14,None,1,618
2021/06/14,Pfizer,10379,619
2021/06/15,AstraZeneca,115,620
2021/06/15,Moderna,2432,621
2021/06/15,None,3,622
2021/06/15,Pfizer,9322,623
2021/06/16,AstraZeneca,344,624
2021/06/16,Janssen Inc.,6,625
2021/06/16,Moderna,2624,626
2021/06/16,Pfizer,9890,627
2021/06/17,AstraZeneca,560,628
2021/06/17,Moderna,2178,629
2021/06/17,None,1,630
2021/06/17,Pfizer,11561,631
2021/06/18,AstraZeneca,469,632
2021/06/18,Moderna,2317,633
2021/06/18,None,3,634
2021/06/18,Pfizer,14215,635
2021/06/19,AstraZeneca,253,636
2021/06/19,Moderna,2223,637
2021/06/19,Pfizer,12865,638
2021/06/20,AstraZeneca,156,639
2021/06/20,Moderna,1192,640
2021/06/20,None,1,641
2021/06/20,Pfizer,10128,642
2021/06/21,AstraZeneca,601,643
2021/06/21,Janssen Inc.,2,644
2021/06/21,Moderna,12865,645
2021/06/21,None,1,646
2021/06/21,Pfizer,4726,647
2021/06/22,AstraZeneca,401,648
2021/06/22,Janssen Inc.,6,649
2021/06/22,Moderna,13287,650
2021/06/22,Pfizer,4491,651
2021/06/23,AstraZeneca,224,652
2021/06/23,Janssen Inc.,2,653
2021/06/23,Moderna,13240,654
2021/06/23,None,1,655
2021/06/23,Pfizer,4360,656
2021/06/24,AstraZeneca,272,657
2021/06/24,Moderna,5054,658
2021/06/24,Pfizer,14297,659
2021/06/25,AstraZeneca,295,660
2021/06/25,Janssen Inc.,2,661
2021/06/25,Moderna,4865,662
2021/06/25,Pfizer,16226,663
2021/06/26,AstraZeneca,83,664
2021/06/26,Moderna,13373,665
2021/06/26,Pfizer,7240,666
2021/06/27,AstraZeneca,36,667
2021/06/27,Moderna,12413,668
2021/06/27,Pfizer,3591,669
2021/06/28,AstraZeneca,169,670
2021/06/28,Janssen Inc.,2,671
2021/06/28,Moderna,15298,672
2021/06/28,None,1,673
2021/06/28,Pfizer,4068,674
2021/06/29,AstraZeneca,124,675
2021/06/29,Moderna,7779,676
2021/06/29,None,3,677
2021/06/29,Pfizer,12873,678
2021/06/30,AstraZeneca,236,679
2021/06/30,Moderna,9878,680
2021/06/30,None,2,681
2021/06/30,Pfizer,9683,682
2021/07/01,AstraZeneca,15,683
2021/07/01,Moderna,7843,684
2021/07/01,Pfizer,7041,685
2021/07/02,AstraZeneca,44,686
2021/07/02,Janssen Inc.,2,687
2021/07/02,Moderna,8634,688
2021/07/02,None,2,689
2021/07/02,Pfizer,8797,690
2021/07/03,AstraZeneca,28,691
2021/07/03,Moderna,9378,692
2021/07/03,None,1,693
2021/07/03,Pfizer,10625,694
2021/07/04,AstraZeneca,22,695
2021/07/04,Moderna,8324,696
2021/07/04,None,1,697
2021/07/04,Pfizer,8382,698
2021/07/05,AstraZeneca,66,699
2021/07/05,Moderna,10157,700
2021/07/05,None,1,701
2021/07/05,Pfizer,9118,702
2021/07/06,AstraZeneca,36,703
2021/07/06,Moderna,10474,704
2021/07/06,None,1,705
2021/07/06,Pfizer,9273,706
2021/07/07,AstraZeneca,59,707
2021/07/07,Moderna,10081,708
2021/07/07,None,1,709
2021/07/07,Pfizer,9578,710
2021/07/08,AstraZeneca,42,711
2021/07/08,Moderna,10461,712
2021/07/08,Pfizer,9088,713
2021/07/09,AstraZeneca,58,714
2021/07/09,Janssen Inc.,2,715
2021/07/09,Moderna,14205,716
2021/07/09,Pfizer,3955,717
2021/07/10,AstraZeneca,37,718
2021/07/10,Moderna,12118,719
2021/07/10,Pfizer,3429,720
2021/07/11,AstraZeneca,15,721
2021/07/11,Janssen Inc.,2,722
2021/07/11,Moderna,10402,723
2021/07/11,Pfizer,2565,724
2021/07/12,AstraZeneca,25,725
2021/07/12,Janssen Inc.,2,726
2021/07/12,Moderna,12324,727
2021/07/12,Pfizer,3355,728
2021/07/13,AstraZeneca,18,729
2021/07/13,Moderna,11544,730
2021/07/13,Pfizer,3505,731
2021/07/14,AstraZeneca,14,732
2021/07/14,Moderna,10351,733
2021/07/14,Pfizer,4011,734
2021/07/15,AstraZeneca,40,735
2021/07/15,Moderna,9476,736
2021/07/15,Pfizer,4595,737
2021/07/16,AstraZeneca,18,738
2021/07/16,Moderna,9059,739
2021/07/16,Pfizer,5449,740
